#TYPE System.Management.Automation.PSCustomObject
"Name","Group"
"tnaushad","UK-SG Certificate Based SSLVPN Authentication"
"tnaushad","UK-SG MobileIron Users"
"tnaushad","UK-SG UKNASDATA08_Netharland_users_access"
"tnaushad","UK-SG 545_REPORTING"
"tnaushad","UK-SG 637_REPORTING"
"tnaushad","UK-SG FA_WIP_ALL"
"tnaushad","UK-SG 545_COMMITTEES"
"tnaushad","UK-SG 637_COMMITTEES"
"tnaushad","UK-SG BIR_BAS_ALL"
"tnaushad","UK-SG QA_REVIEW"
"tnaushad","UK-SG ADMIN_QA REVIEW"
"tnaushad","UK-DL Manchester C Grades (All)"
"tnaushad","UK-SG ADMIN_TECHNOLOGY"
"tnaushad","UK-SG 637_PTR_MMARSHALL"
"tnaushad","uk-sg"
"tnaushad","UK-SG KPMG Users"
"tnaushad","UK-SG FAS_FA_ALL"
"tnaushad","UK-SG KM Users"
"tnaushad","UK-SG 433"
"tnaushad","UK-SG FINANCIAL_SERVICES_ALL"
"tnaushad","UK-SG CIM_SSQ_ALL"
"tnaushad","UK-SG GOAdManagement"
"tnaushad","UK-DL Manchester Office All"
"tnaushad","UK-SG ADMIN_600"
"tnaushad","UK-SG 601"
"tnaushad","UK-SG Canary Wharf Audit Users"
"tnaushad","UK-SG ADMIN_991_BCM-991"
"tnaushad","UK-SG INPLUS"
"tnaushad","UK-SG 545_ALL"
"tnaushad","UK-SG IRMDATA"
"tnaushad","UK-SG 637_ALL"
"tnaushad","UK-SG ADMIN_600_TEAM MINI BIOS"
"tnaushad","UK-SG FAS_TRT_ALL"
"tnaushad","UK-SG CLIENT_NON_STARS_TRANS"
"tnaushad","UK-SG CWH_FS_SPLIT_TEST"
"tnaushad","UK-SG 885"
"tnaushad","UK-SG CWH_FS_ALL"
"Rmills1","UK-SG Alphatax Loader Site Administrator"
"Rmills1","UK-SG Alphatax Loader CTC User"
"Rmills1","UK-SG Alphatax Loader KGS User"
"Rmills1","UK-SG Alphatax Loader CTC SuperUser"
"Rmills1","UK-SG Alphatax Loader KGS SuperUser"
"Rmills1","UK-SG Alphatax Loader KGS Secondee"
"Rmills1","UK-SG Alphatax Loader Support"
"Rmills1","UK-SG SCCM KGS Alphatax Users"
"Rmills1","UK-SG AAD EXO Journaling"
"Rmills1","UK-SG Intune App - NowSpace Pilot"
"Rmills1","UK-DL Mobile Device Upgrade 3"
"Rmills1","UK-DL S&D Infrastructure"
"Rmills1","UK-SG SCCM WorkSite Macro Update Users"
"Rmills1","GO-SG MC Delivery Backbone Users Regional EMA"
"Rmills1","UK-SG HMRC_GMSHOPS_UK_Temp"
"Rmills1","UK-SG AAD GBL - Office 365 Multi Geo"
"Rmills1","UK-SG SCCM ADLookup Users"
"Rmills1","UK-DL O365 Users"
"Rmills1","UK-DL C grades"
"Rmills1","UK-DL Clara server downtime"
"Rmills1","UK-DL Source Comms B-E"
"Rmills1","UK-DL Source Comms"
"Rmills1","UK-SG Tax Test Bed Local Admins"
"Rmills1","UK-DL Application Release Management"
"Rmills1","UK-SG HMRC_CTC_UK_NEW"
"Rmills1","UK-SG SCCM Visio 2013 Std Removal Users"
"Rmills1","UK-SG HMRC_CTC_Offshore"
"Rmills1","UK-SG OneDrive Users"
"Rmills1","UK-DL S&D Grade D"
"Rmills1","UK-DL S&D Grade C"
"Rmills1","UK-SG SBA IRIS"
"Rmills1","UK-DL All C Grades"
"Rmills1","UK-DL Source E-B Grades"
"Rmills1","UK-DL S&D App Maintenance & Support"
"Rmills1","UK-DL S&D Regions All"
"Rmills1","GO-SG Alex User"
"Rmills1","UK-SG MobileIron Test Group"
"Rmills1","UK-SG AAD GBL - Office 365 Enterprise E3 - SPO"
"Rmills1","UK-DL JCC D&E ALL"
"Rmills1","UK-SG Intune Exchange Online Outlook Users"
"Rmills1","UK-SG Intune Mobile Users"
"Rmills1","UK-DL ADM Offshore"
"Rmills1","UK-DL TechS Service Delivery"
"Rmills1","UK-SG AAD GBL - Dynamic CRM Basic"
"Rmills1","UK-SG AAD GBL - Enterprise Mobility Security E3"
"Rmills1","UK-SG AAD GBL - Office 365 Enterprise E3"
"Rmills1","UK-SG Privileged Tax Role Intelledox Manage UAT"
"Rmills1","UK-SG Privileged Tax Role Intelledox Manage"
"Rmills1","UK-SG MS SCOM AlphaTax Team"
"Rmills1","UK-DL Solutions Staff All"
"Rmills1","UK-SG HMRC_GMSHOPS_UK"
"Rmills1","UK-SG HMRC_PA_UK"
"Rmills1","UK-SG VDI LPR KPMG-WINDOWS-10-VDI-POC"
"Rmills1","UK-SG HMRC_GMS_UK"
"Rmills1","UK-SG HMRC_PCC_UK"
"Rmills1","UK-DL D&E Client Facing"
"Rmills1","UK-SG CompAnalyser_SRT"
"Rmills1","UK-DL TTG Ops"
"Rmills1","UK-DL 2016 Bonus - E_D grades"
"Rmills1","UK-SG SCCM 2012 Dynamics CRM 2016 Install"
"Rmills1","UK-DL Source UK Access"
"Rmills1","UK-DL Solutions D grades"
"Rmills1","UK-DL Non-Registered Wiggle 2"
"Rmills1","UK-SG VDI TAX live full clones"
"Rmills1","UK-SG MS2012 SCOM Web Console AlphaTax Team"
"Rmills1","UK-DL TTG_AppM_Alerts"
"Rmills1","US-TAX GTTP Non-UK All List"
"Rmills1","GO-SG MC Delivery Backbone Users ARIS"
"Rmills1","GO-SG Global Benchmarking Plus light house"
"Rmills1","GO-SG Delivery Backbone Users"
"Rmills1","GO-SG MY360 AMS Users"
"Rmills1","GO-DL SDTS Payroll Support"
"Rmills1","UK-DL Tax Central & CTT D grades"
"Rmills1","UK-SG Global Delivery Backbone Users"
"Rmills1","UK-DL 15CSQ 11th Floor Locker Owners"
"Rmills1","UK-SG SCCM Autonomy Worksite V9"
"Rmills1","UK-DL WorkSite TAX Contacts"
"Rmills1","UK-SG MS2012 RDS ServerAccessPortal - ProdDMZ"
"Rmills1","UK-SG SCCM Project 2007"
"Rmills1","UK-SG MS2012 RDS ServerAccessPortal - DevDMZ"
"Rmills1","UK-SG MS2012 RDS ServerAccessPortal - Development"
"Rmills1","UK-DL Data Cleanse"
"Rmills1","UK-DL ITS Major Incident Notification"
"Rmills1","UK-SG SCCM Project 2013"
"Rmills1","UK-SG SCCM Microsoft Visio Standard 2013"
"Rmills1","UK-DL Flextra GLA Members"
"Rmills1","UK-SG SCCM Corporate Tax Compliance Users"
"Rmills1","UK-SG MS2012 Lync Project Deployment Group - Glasgow"
"Rmills1","UK-SG UKTAX VDI"
"Rmills1","UK-SG SDS Digita Tax Software Users"
"Rmills1","UK-SG MobileIron ITSNet WiFi Users"
"Rmills1","UK-SG Adobe Acrobat JavaScript setting"
"Rmills1","UK-DL NewLaptops_Glasgow"
"Rmills1","UK-SG_TAXRDS_RDSupport"
"Rmills1","UK-SG FTECH TSGateway Users"
"Rmills1","UK-DL MobileIron Users"
"Rmills1","UK-SG TibbrUser"
"Rmills1","UK-SG_TAXRDS_IE9"
"Rmills1","UK-SG_TAXRDS_RDU"
"Rmills1","UK-SG_TAXRDS_Digita"
"Rmills1","UK-SG_TAXRDS_Alphatax"
"Rmills1","UK-SG_TAXRDS_SequenceWorkflow"
"Rmills1","UK-SG_TAXRDS_AdobePro9"
"Rmills1","UK-SG TaxWorkflow"
"Rmills1","UK-SG_TAXRDS_MSOffice2007"
"Rmills1","UK-SG TaxExceptions W drive Users"
"Rmills1","UK-SG Share_Drives_Read_Write_Access"
"Rmills1","UK-SG Share_Drives_Read_Only_Access_Manual_Users"
"Rmills1","UK-DL TTG Workflow Development"
"Rmills1","UK-SG 625_TAX_Exclusive_ALL"
"Rmills1","UK-SG MFAT Users"
"Rmills1","UK-DL TTG PML"
"Rmills1","UK-DL ALL UK Staff"
"Rmills1","UK-SG STDSPUDAPP_PAYROLL_STAR PAYROLL CLIENTS"
"Rmills1","UK-SG KPMG_CTC_OPI_OPIAPP"
"Rmills1","UK-SG Certificate Based SSLVPN Authentication"
"Rmills1","UK-SG Alphatax TTG Users"
"Rmills1","UK-SG Digita Support"
"Rmills1","UK-SG EXL CPM Test Users"
"Rmills1","UK-SG MobileIron Users"
"Rmills1","UK-DL Global People Survey"
"Rmills1","UK-DL ITS GOOD Android"
"Rmills1","UK-SG PENSIONS_ADMIN_USERS_ADM"
"Rmills1","UK-DL All UK Employees"
"Rmills1","UK-DL ALL TAX UK"
"Rmills1","UK-SG TAX_CTX_USERS"
"Rmills1","UK-DL TTG Glasgow"
"Rmills1","UK-SG Gains LH2"
"Rmills1","UK-DL CSQ 3rd Floor"
"Rmills1","UK-SG Digita SuperUsers"
"Rmills1","UK-DL TTG DevOps"
"Rmills1","UK-SG Alphatax Watford Users"
"Rmills1","UK-SG ADMIN_977  TAX MANAGEMENT SERVICES"
"Rmills1","UK-SG PEG_ALL"
"Rmills1","UK-SG ADMIN_977_TAX MANAGEMENT SERVICES_TMS"
"Rmills1","UK-SG OPI_ALPHATAX"
"Rmills1","UK-SG Digita Users"
"Rmills1","UK-SG PRMBus_alldata"
"Rmills1","UK-SG GLA_OMB_ALL"
"Rmills1","UK-SG ADMIN_GEN_ACCOUNTSPREP_PENSIONS"
"Rmills1","UK-DL Interwoven Lighthouse"
"Rmills1","UK-DL Interwoven PCC"
"Rmills1","UK-SG KPMG_OPI_TAX_SHARES_ALL"
"Rmills1","UK-SG OPI_OPIAPP_ALL"
"Rmills1","UK-SG DMS Citrix Pilot Users"
"Rmills1","UK-SG TRT_TEAM_WORKING"
"Rmills1","UK-SG ADMIN_TECHNOLOGY"
"Rmills1","UK-SG Digita IES"
"Rmills1","UK-SG Digita KPMG Restricted"
"Rmills1","UK-SG Digita Watford Secure"
"Rmills1","UK-SG Digita Main"
"Rmills1","UK-SG Digita TS5"
"Rmills1","UK-SG KPMG Users"
"Rmills1","UK-SG KM Users"
"Rmills1","UK-SG 398_ALL"
"Rmills1","UK-SG KPMG_TTG_Support"
"Rmills1","UK-SG HR_I&G"
"Rmills1","UK-SG TRT_TRAINING"
"Rmills1","UK-SG TRT_TECHNICAL"
"Rmills1","UK-SG ADMIN_ADMIN FS CTAS"
"Rmills1","UK-SG HR_REVIEW_MRD"
"Rmills1","UK-SG CWH_FS_BOS_USER"
"Rmills1","UK-SG 528_ALL"
"Rmills1","UK-SG SMS Trust Tax Users"
"Rmills1","UK-DL Glasgow Office All"
"Rmills1","UK-SG HR_MRD"
"Rmills1","UK-SG CIM_SSQ_ALL"
"Rmills1","UK-SG TAX_PUD_ALL"
"Rmills1","UK-SG HR_REVIEW_FS"
